analysis-full.txt 
  Dbar: 69.96769
  Dhat: -61.70544
    pD: 131.6731
   DIC: 201.6408



 analysis-full.txt results...Inference for Bugs model at "analysis-full.txt", fit using jags,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                           mu.vect sd.vect    2.5%    25%    50%    75%   97.5%  Rhat n.eff
              beta.poly.long[1,1]    -4.814    5.644
              beta.poly.long[1,2]    -1.671    2.218
              beta.poly.long[2,1]    -5.149    3.757
              beta.poly.long[2,2]    -4.421    0.116
               beta.poly.map[1,1]    -5.280    3.343
               beta.poly.map[1,2]    -3.169    2.188
               beta.poly.map[2,1]    -2.481    2.645
               beta.poly.map[2,2]    -0.037    5.960
         beta.poly.seed.mass[1,1]    -0.748   10.620
         beta.poly.seed.mass[1,2]    -0.747    5.228
         beta.poly.seed.mass[2,1]    -4.603    6.038
         beta.poly.seed.mass[2,2]     1.017   11.370*
           beta.seed.mass.elev[1]    -0.671    0.640
           beta.seed.mass.elev[2]    -0.611   -0.093*
           beta.seed.mass.long[1]    -0.543    0.619
           beta.seed.mass.long[2]    -0.515   -0.117*
            beta.seed.mass.map[1]    -0.489    0.336
            beta.seed.mass.map[2]    -0.184    0.451
                         deviance    43.220   95.987*
         eps.fecundity.species[1]    -1.598   -0.682*
         eps.fecundity.species[2]    -2.762   -0.319*
         eps.fecundity.species[3]    -2.131   -0.166*
         eps.fecundity.species[4]     0.633    1.111*
       eps.fl.per.head.species[1]    -1.443   -0.416*
       eps.fl.per.head.species[2]    -0.617    2.049
       eps.fl.per.head.species[3]     0.169    2.371*
       eps.fl.per.head.species[4]    -0.418    0.107
            eps.infest.species[1]    -5.026    1.754
            eps.infest.species[2]    -3.980    1.514
            eps.infest.species[3]    -4.151    3.088
            eps.infest.species[4]    -0.365    1.142
         eps.seed.mass.species[1]    -1.247   -0.311*
         eps.seed.mass.species[2]    -1.821    0.679
         eps.seed.mass.species[3]    -2.269   -0.258*
         eps.seed.mass.species[4]     0.373    0.862*
                    tau.fecundity     0.000    2.512*
                  tau.fl.per.head     0.000    2.686*
                    tau.seed.mass     0.000    2.674*



Posterior comparisons of regression coefficients...
    repens - non.repens

Environmental coefficients...
beta.fecundity.elev: 0.117 (-0.676,0.973)
beta.fecundity.long: 0.119 (-0.591,0.87)
beta.fecundity.map: 0.45 (-0.17,1.048)
beta.fl.per.head.elev: 0.021 (-0.906,0.941)
beta.fl.per.head.long: 0.346 (-0.457,1.167)
beta.fl.per.head.map: 0.295 (-0.375,0.962)
beta.seed.mass.elev: -0.317 (-1.188,0.514)
beta.seed.mass.long: -0.357 (-1.097,0.374)
beta.seed.mass.map: 0.212 (-0.404,0.858)
 
Infestation coefficients...
beta.infest.elev: -0.89 (-2.354,0.505)
beta.infest.fecundity: 1.377 (-0.998,3.812)
beta.infest.fl.per.head: 1.549 (-1.037,4.318)
beta.infest.long: 0.791 (-0.537,2.16)
beta.infest.map: -0.634 (-1.593,0.334)
beta.infest.seed.mass: -0.953 (-4.658,2.589)
 
Pink coefficients...
beta.pink.elev[1]: 2.047 (-5.685,9.688)
beta.pink.elev[2]: 0.065 (-7.151,7.375)
beta.pink.elev[3]: -1.59 (-9.182,5.853)
beta.pink.elev[4]: 0.136 (-8.137,8.528)
beta.pink.fecundity[1]: -3.9 (-11.244,3.404)
beta.pink.fecundity[2]: -1.844 (-8.663,5.528)
beta.pink.fecundity[3]: -0.033 (-7.132,6.931)
beta.pink.fecundity[4]: 3.893 (-4.312,12.301)
beta.pink.fl.per.head[1]: 5.645 (-1.621,12.972)
beta.pink.fl.per.head[2]: -1.681 (-8.69,5.722)
beta.pink.fl.per.head[3]: 4.999 (-2.437,12.734)
beta.pink.fl.per.head[4]: -1.088 (-9.651,7.81)
beta.pink.infest[1]: -0.572 (-7.498,5.961)
beta.pink.infest[2]: 2.488 (-4.761,9.612)
beta.pink.infest[3]: -3.52 (-10.222,3.003)
beta.pink.infest[4]: 0.937 (-7.032,9.114)
beta.pink.long[1]: -2.063 (-10.054,5.662)
beta.pink.long[2]: -1.787 (-9.04,5.994)
beta.pink.long[3]: 3.566 (-3.039,10.134)
beta.pink.long[4]: -1.243 (-8.906,6.052)
beta.pink.map[1]: 0.397 (-6.394,6.728)
beta.pink.map[2]: 1.703 (-4.229,7.444)
beta.pink.map[3]: -3.317 (-8.909,2.076)
beta.pink.map[4]: -0.712 (-8.34,7.195)
beta.pink.seed.mass[1]: -3.317 (-11.809,4.729)
beta.pink.seed.mass[2]: 2.398 (-6.211,10.996)
beta.pink.seed.mass[3]: -0.434 (-9.272,8.363)
beta.pink.seed.mass[4]: 1.462 (-7.817,11.219)
 
Poly coefficients...
beta.poly.elev[1]: 0.669 (-6.126,7.48)
beta.poly.elev[2]: 3.598 (-1.85,9.192)
beta.poly.fecundity[1]: -4.364 (-11.473,2.888)
beta.poly.fecundity[2]: -0.094 (-6.2,5.964)
beta.poly.fl.per.head[1]: 5.33 (-1.894,11.99)
beta.poly.fl.per.head[2]: -6.814 (-13.75,-0.284)*
beta.poly.infest[1]: 0.042 (-6.63,6.932)
beta.poly.infest[2]: 5.03 (-1.211,11.366)
beta.poly.long[1]: -0.118 (-6.883,6.584)
beta.poly.long[2]: -1.403 (-7.529,4.558)
beta.poly.map[1]: 0.338 (-5.641,6.533)
beta.poly.map[2]: 2.84 (-1.836,7.638)
beta.poly.seed.mass[1]: -2.625 (-10.446,4.717)
beta.poly.seed.mass[2]: 5.8 (-2.705,14.871)
 
