analysis-full.txt 
  Dbar: 69.96769
  Dhat: -61.70544
    pD: 131.6731
   DIC: 201.6408



 analysis-full.txt results...Inference for Bugs model at "analysis-full.txt", fit using jags,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                           mu.vect sd.vect    2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.pink.infest[4,2]       -2.410   2.748  -7.666 -4.277 -2.438 -0.559   3.050 1.001  8300
beta.pink.long[1,1]         -1.744   3.265  -8.189 -3.958 -1.753  0.484   4.605 1.001 15000
beta.pink.long[2,1]         -4.665   2.928 -10.586 -6.609 -4.601 -2.660   0.868 1.001 13000
beta.pink.long[3,1]         -4.525   2.774 -10.188 -6.330 -4.450 -2.633   0.655 1.001 25000
beta.pink.long[4,1]         -3.104   3.229  -9.563 -5.279 -3.051 -0.895   3.107 1.001 24000
beta.pink.long[1,2]         -3.840   2.365  -8.803 -5.370 -3.744 -2.206   0.528 1.001 25000
beta.pink.long[2,2]         -6.444   2.475 -11.636 -8.046 -6.292 -4.708  -2.000 1.001 25000
beta.pink.long[3,2]         -0.932   1.899  -4.759 -2.179 -0.925  0.323   2.789 1.001 16000
beta.pink.long[4,2]         -4.349   2.057  -8.645 -5.656 -4.250 -2.913  -0.621 1.001 17000
beta.pink.map[1,1]          -1.655   2.722  -7.208 -3.456 -1.586  0.215   3.482 1.001 25000
beta.pink.map[2,1]          -0.439   1.675  -3.786 -1.547 -0.410  0.686   2.778 1.001 11000
beta.pink.map[3,1]           0.827   1.925  -2.784 -0.475  0.790  2.061   4.772 1.001 14000
beta.pink.map[4,1]           0.032   2.736  -5.059 -1.835 -0.081  1.763   5.710 1.001 19000
beta.pink.map[1,2]          -1.246   1.968  -5.146 -2.567 -1.244  0.084   2.620 1.002  4000
beta.pink.map[2,2]           1.235   2.489  -3.568 -0.450  1.218  2.908   6.191 1.001 13000
beta.pink.map[3,2]          -2.507   2.019  -6.661 -3.827 -2.402 -1.095   1.169 1.001 19000
beta.pink.map[4,2]          -0.713   2.880  -6.388 -2.643 -0.660  1.230   4.840 1.001 25000
beta.pink.seed.mass[1,1]     3.121   3.396  -3.445  0.811  3.110  5.389   9.834 1.001  7100
beta.pink.seed.mass[2,1]     0.336   3.260  -6.054 -1.835  0.348  2.500   6.753 1.003  1800
beta.pink.seed.mass[3,1]     0.741   3.247  -5.628 -1.441  0.722  2.952   7.080 1.002  3100
beta.pink.seed.mass[4,1]    -1.149   3.420  -7.871 -3.452 -1.131  1.151   5.541 1.001  6200
beta.pink.seed.mass[1,2]    -0.160   2.508  -5.260 -1.826 -0.077  1.599   4.517 1.002  3900
beta.pink.seed.mass[2,2]     2.769   2.976  -2.731  0.692  2.664  4.693   8.945 1.001  8300
beta.pink.seed.mass[3,2]     0.351   3.131  -5.613 -1.787  0.279  2.419   6.678 1.001  6900
beta.pink.seed.mass[4,2]     0.335   3.451  -6.317 -2.021  0.264  2.688   7.169 1.001 10000
beta.poly.0[1,1]            -1.909   3.679  -9.224 -4.357 -1.863  0.595   5.136 1.001  5200
beta.poly.0[2,1]            -1.351   3.353  -7.982 -3.585 -1.329  0.907   5.188 1.001  6700
beta.poly.0[1,2]            -1.668   3.799  -9.200 -4.206 -1.664  0.885   5.820 1.001 12000
beta.poly.0[2,2]            -1.446   3.466  -8.256 -3.784 -1.434  0.899   5.337 1.002  4300
beta.poly.0[1,3]            -1.750   3.816  -9.204 -4.329 -1.763  0.857   5.646 1.001 17000
beta.poly.0[2,3]             1.467   3.714  -5.827 -1.041  1.459  3.925   8.807 1.001  5800
beta.poly.0[1,4]             0.143   2.065  -4.078 -1.201  0.205  1.547   4.073 1.001  5700
beta.poly.0[2,4]            -0.087   2.117  -4.251 -1.497 -0.092  1.325   4.112 1.001 17000
beta.poly.elev[1,1]         -1.281   3.141  -7.535 -3.390 -1.266  0.867   4.794 1.001 25000
beta.poly.elev[2,1]         -2.927   2.403  -7.779 -4.509 -2.887 -1.274   1.655 1.001 18000
beta.poly.elev[1,2]         -0.587   1.539  -3.681 -1.600 -0.571  0.451   2.400 1.001  9800
beta.poly.elev[2,2]          0.687   1.470  -2.213 -0.276  0.689  1.654   3.570 1.001 25000
beta.poly.fecundity[1,1]     2.349   3.095  -3.602  0.237  2.342  4.435   8.506 1.001 18000
beta.poly.fecundity[2,1]     0.046   2.678  -5.131 -1.781  0.026  1.857   5.247 1.002  3900
beta.poly.fecundity[1,2]    -1.979   1.962  -6.059 -3.246 -1.906 -0.618   1.643 1.002  4600
beta.poly.fecundity[2,2]    -0.086   1.625  -3.273 -1.172 -0.083  0.997   3.103 1.001 25000
beta.poly.fl.per.head[1,1]  -0.239   2.952  -6.065 -2.202 -0.242  1.738   5.547 1.001 25000
beta.poly.fl.per.head[2,1]   2.417   2.351  -2.158  0.823  2.401  4.002   7.038 1.001  8200
beta.poly.fl.per.head[1,2]   5.046   1.920   1.508  3.715  4.965  6.296   9.012 1.001 25000
beta.poly.fl.per.head[2,2]  -4.430   2.549  -9.414 -6.177 -4.432 -2.697   0.523 1.001 25000
beta.poly.infest[1,1]        1.123   3.025  -4.652 -0.939  1.079  3.138   7.166 1.001 25000
beta.poly.infest[2,1]       -4.507   2.566  -9.767 -6.204 -4.399 -2.692   0.219 1.001 25000
beta.poly.infest[1,2]        1.153   1.675  -2.084  0.031  1.133  2.238   4.514 1.001  6000
beta.poly.infest[2,2]        0.520   2.004  -3.238 -0.833  0.446  1.800   4.669 1.001 25000
beta.poly.long[1,1]          0.454   3.201  -5.791 -1.667  0.454  2.563   6.738 1.001 21000
beta.poly.long[2,1]         -0.686   2.721  -6.116 -2.492 -0.684  1.148   4.620 1.001 25000
beta.poly.long[1,2]          0.294   1.189  -1.944 -0.498  0.249  1.052   2.761 1.001  7200
beta.poly.long[2,2]         -2.097   1.396  -5.015 -2.999 -2.021 -1.127   0.438 1.001 12000
beta.poly.map[1,1]          -0.817   2.652  -6.299 -2.540 -0.696  1.027   4.031 1.001 25000
beta.poly.map[2,1]           0.109   1.554  -2.949 -0.923  0.123  1.135   3.172 1.001 16000
beta.poly.map[1,2]          -0.483   1.630  -3.633 -1.586 -0.500  0.588   2.776 1.001  5700
beta.poly.map[2,2]           2.954   1.841  -0.385  1.676  2.870  4.118   6.885 1.001 10000
beta.poly.seed.mass[1,1]     4.838   3.461  -1.873  2.488  4.831  7.162  11.627 1.001  8700
beta.poly.seed.mass[2,1]     0.426   3.226  -5.883 -1.740  0.431  2.608   6.671 1.001  8400
beta.poly.seed.mass[1,2]     2.197   1.823  -1.395  0.978  2.169  3.400   5.844 1.001 25000
beta.poly.seed.mass[2,2]     6.242   3.153   0.293  4.046  6.177  8.330  12.551 1.001  8500
beta.seed.mass.elev[1]      -0.037   0.399  -0.832 -0.299 -0.036  0.226   0.743 1.001  8600
beta.seed.mass.elev[2]      -0.352   0.158  -0.670 -0.454 -0.352 -0.249  -0.039 1.001 25000
beta.seed.mass.long[1]       0.036   0.356  -0.655 -0.197  0.036  0.269   0.746 1.001 12000
beta.seed.mass.long[2]      -0.321   0.122  -0.561 -0.401 -0.321 -0.242  -0.077 1.001 25000
beta.seed.mass.map[1]       -0.081   0.251  -0.577 -0.244 -0.081  0.085   0.417 1.001 25000
beta.seed.mass.map[2]        0.130   0.195  -0.259  0.003  0.128  0.257   0.517 1.001 20000
eps.fecundity.species[1]    -1.136   0.279  -1.691 -1.319 -1.134 -0.953  -0.592 1.001 18000
eps.fecundity.species[2]    -1.513   0.747  -2.982 -2.004 -1.522 -1.026  -0.013 1.002  4900
eps.fecundity.species[3]    -1.129   0.602  -2.299 -1.528 -1.131 -0.739   0.073 1.001  6000
eps.fecundity.species[4]     0.874   0.146   0.585  0.781  0.875  0.969   1.165 1.001 10000
eps.fl.per.head.species[1]  -0.925   0.313  -1.538 -1.130 -0.926 -0.723  -0.295 1.001 22000
eps.fl.per.head.species[2]   0.720   0.823  -0.952  0.184  0.727  1.272   2.320 1.001 23000
eps.fl.per.head.species[3]   1.256   0.671  -0.079  0.816  1.262  1.694   2.565 1.001  5800
eps.fl.per.head.species[4]  -0.158   0.162  -0.479 -0.263 -0.158 -0.052   0.160 1.001 25000
eps.infest.species[1]       -1.654   2.066  -5.653 -3.037 -1.668 -0.301   2.465 1.001 25000
eps.infest.species[2]       -1.221   1.674  -4.429 -2.341 -1.253 -0.136   2.143 1.001 19000
eps.infest.species[3]       -0.659   2.203  -4.968 -2.152 -0.681  0.817   3.639 1.001  8400
eps.infest.species[4]        0.366   0.462  -0.551  0.070  0.364  0.667   1.278 1.001 25000
eps.seed.mass.species[1]    -0.774   0.288  -1.338 -0.962 -0.774 -0.587  -0.204 1.001 13000
eps.seed.mass.species[2]    -0.579   0.765  -2.086 -1.081 -0.581 -0.083   0.923 1.001 10000
eps.seed.mass.species[3]    -1.267   0.616  -2.475 -1.672 -1.273 -0.865  -0.030 1.001  7700
eps.seed.mass.species[4]     0.619   0.149   0.325  0.523  0.620  0.716   0.914 1.001 14000
tau.fecundity                0.945   2.947   0.000  0.000  0.006  0.326   9.332 1.001  8300
tau.fl.per.head              0.999   3.180   0.000  0.000  0.006  0.337   9.492 1.001 25000
tau.seed.mass                1.005   3.236   0.000  0.000  0.005  0.339   9.919 1.001 21000
deviance                    69.968  16.230  40.834 58.587 69.106 80.424 104.153 1.001 14000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 131.7 and DIC = 201.6
DIC is an estimate of expected predictive error (lower deviance is better).



95% symmetric intervals
                      Coefficient        lo       hi
---------------------------------   -------  -------
                       Sigma[1,1]     0.138    0.502*
                       Sigma[1,2]    -0.054    0.253
                       Sigma[1,3]    -0.183    0.091
                       Sigma[2,1]    -0.054    0.253
                       Sigma[2,2]     0.175    0.639*
                       Sigma[2,3]    -0.312    0.013
                       Sigma[3,1]    -0.183    0.091
                       Sigma[3,2]    -0.312    0.013
                       Sigma[3,3]     0.148    0.533*
                  alpha.pink.0[1]    -6.453    3.375
                  alpha.pink.0[2]    -6.006    3.634
                  alpha.pink.0[3]    -1.450    8.035
                  alpha.pink.0[4]    -0.763    9.426
