Full model...
   DIC: 293.735
    pD: 70.171

                Dbar	Dhat	pD	DIC	
fecundity	33.816	22.760	11.055	44.871	
fl.per.head	42.707	31.878	10.829	53.536	
infest	        57.983	43.160	14.822	72.805	
pink	        22.935	10.255	12.680	35.614	
poly	        31.711	21.967	9.744	41.456	
seed.mass	34.413	23.373	11.040	45.453	
total	        223.564	153.394	70.171	293.735	


Full model results...Inference for Bugs model at "analysis-alt.txt", fit using WinBUGS,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                              mean     sd    2.5%     25%     50%     75%   97.5%  Rhat n.eff
beta.pink.seed.mass[3,1]     0.541  3.546  -6.433  -1.820   0.544   2.909   7.409 1.001  8900
beta.pink.seed.mass[3,2]     0.658  3.641  -6.552  -1.769   0.680   3.104   7.793 1.001  9600
beta.pink.seed.mass[4,1]    -0.950  3.633  -8.082  -3.392  -0.925   1.512   6.101 1.001  8000
beta.pink.seed.mass[4,2]     1.872  3.799  -5.557  -0.676   1.856   4.446   9.366 1.001 16000
beta.pink.infest[1,1]        0.999  2.932  -4.646  -0.958   0.945   2.953   6.894 1.001 25000
beta.pink.infest[1,2]        1.564  3.735  -6.843  -0.645   1.970   4.137   7.978 1.002  3800
beta.pink.infest[2,1]       -5.098  2.696 -10.150  -6.807  -5.176  -3.505   0.584 1.010   520
beta.pink.infest[2,2]       -1.254  2.794  -6.750  -3.086  -1.299   0.536   4.413 1.001  7400
beta.pink.infest[3,1]        0.356  2.911  -5.374  -1.544   0.307   2.204   6.328 1.004  1100
beta.pink.infest[3,2]        1.760  3.464  -5.859  -0.323   2.040   4.136   7.934 1.001  7300
beta.pink.infest[4,1]       -1.592  3.101  -7.794  -3.634  -1.551   0.509   4.358 1.001  7500
beta.pink.infest[4,2]       -0.183  3.286  -6.813  -2.329  -0.131   2.017   6.164 1.001  6000
beta.pink.long[1,1]         -1.899  3.391  -8.557  -4.181  -1.888   0.396   4.690 1.001 25000
beta.pink.long[1,2]         -4.459  2.740 -10.100  -6.264  -4.386  -2.575   0.701 1.001 15000
beta.pink.long[2,1]         -4.021  3.097 -10.110  -6.124  -3.990  -1.940   1.996 1.001 25000
beta.pink.long[2,2]         -5.612  2.648 -11.080  -7.341  -5.492  -3.777  -0.695 1.001 20000
beta.pink.long[3,1]         -4.172  3.064 -10.310  -6.208  -4.117  -2.079   1.647 1.001 25000
beta.pink.long[3,2]          0.185  2.059  -3.833  -1.177   0.164   1.537   4.287 1.001  7900
beta.pink.long[4,1]         -3.340  3.327  -9.872  -5.593  -3.329  -1.077   3.101 1.001 25000
